text1,text2,is_same
long-winged nonpasserine birds,article,1
derived from the Iowa crab and cultivated for its large double pink blossoms,painting by Shen Zhou,0
a giant fungus of the Pacific Northwest; has a very thick stalk and the cortina leaves a ring high up on the stalk,species of fungus,1
extinct primitive toothed bird with a long feathered tail and three free clawed digits on each wing,genus of early bird (fossil) buen pollo,1
prolific animal that feeds chiefly on earthworms,Wikimedia category,0
severe; punishingly bad,painting by Richard Hamilton,1
a measuring instrument for measuring the light sensitivity of film over a range of exposures,"scientific study of light-sensitive materials, especially photographic film",1
perennial herb of the eastern United States having inconspicuous greenish flowers and narrow leaves that are very aromatic when bruised,species of plant,1
scale insects,article,0
perennial rhizomatous herbs of Asia and Australia and Polynesia having ginger-scented rhizomes,species of plant,0
provoke or excite,journal,1
a long narrow flowing cirrus cloud,"waterfall in the Moffat Hills, Scotland, UK",0
pretentious superficiality of knowledge,mountain in Somalia,1
a fungus composed of several apothecia that look like elongated rabbit ears; the sterile surface is dark brown and warty; the fertile surface is smooth and pinkish orange,species of fungus,1
one-piece uniform worn by parachutists,"one-piece suit consisting of conjoined shirt or top and trousers, originally worn by parachutists",1
a classification system where entries are arranged based on some hierarchical structure,classification scheme used in organizing knowledge into a systematic order,1
newly mown,chemical compound,1
type genus of the Muscicapidae,species of bird,0
an annual weed of northeastern North America with dentate leaves,variety of plant,0
deciduous shrub or small tree with pyramidal flower clusters,Wikimedia category,0
any of various trees or shrubs having mottled or striped wood,type of wood,1
type and sole genus of the family Mycoplasmataceae,"A mycoplasmal pneumonia that is a highly contagious infection usually associated with pleurisy of cattle, goats, and sheep, which is caused by bacteria of the genus Mycoplasma (especially M. mycoides).",0
having nine sides,2016 film,0
an important Central American mahogany tree,"By James Prestini ((American, born Italy. 1908–1993)); c. 1943; Honduras mahogany; 1 7/8 x 11 1/8"" (4.8 x 28.3 cm)",0
a very narrow necktie usually tied in a bow,English photographer and bondage artist,0
having caterpillar treads or tracks on the wheels,sculpture by Claes Oldenburg,0
a rule one meter long (usually marked off in centimeters and millimeters),Straightedge or folding ruler used to physically measure lengths,1
tripletail found from Cape Cod to northern South America,Wikimedia category,0
close relative to the desert tortoise; may be reclassified as a member of genus Xerobates,"Lubbock, TX :Museum of Texas Tech University,2000. | Museum of Texas Tech University",0
a very deep bass voice,vocal range,0
interest paid on the principal alone,fee paid by the debtor to the creditor for temporarily borrowed capital,1
aromatic annual with a tall stems of small whitish flowers enclosed in a greatly enlarged saucer-shaped or bell-shaped calyx,Northern Irish footballer,1
a stone in a castle in Ireland that is said to impart skill in flattery to anyone who kisses it,1912 film by Laurence Trimble,0
"(shipbuilding) the point of intersection between two vertical lines, one line through the center of buoyancy of the hull of a ship in equilibrium and the other line through the center of buoyancy of the hull when the ship is inclined to one side; the distance of this intersection above the center of gravity is an indication of the stability of the ship",measurement of the initial static stability of a floating body,1
grass native to West Indies but common in southern United States having tufted wiry stems often infested with a dark fungus,species of plant,1
any of various fabrics (linen or cotton) used to make towels,"absorbent, woven textile with a looped pile on one or both sides",0
terrestrial marsupials of southern South America that resemble shrews,species of mammal,1
air defense by the use of deception or dispersion or protective construction,a series in the National Archives and Records Administration's holdings,1
clematis of California,Wikimedia category,0
the day after Whitsunday; a legal holiday in England and Wales and Ireland,Christian holiday commemorating the New Testament stories of the Holy Spirit descenting upon the Apostles of Jesus,1
a network of spies,clandestine acquisition of confidential information,1
perennial herb found on streams and riversides throughout Europe except extreme north and Mediterranean; sometimes placed in genus Nasturtium,Wikimedia category,0
worshipper of Shiva,A Hindu tradition inspired by god Shiva,1
a plane with a flexible face that can plane concave or convex surfaces,painting by Giacomo Balla,1
the basic unit of money in Grenada,currency formerly used in the British colony of Grenada,1
an English translation of the Vulgate by Roman Catholic scholars,Challoner's revision of the DRB,0
a former executive department of the United States government; created in 1903 and split into two departments in 1913,"[Washington?]Printed for distribution at the Ter-centennial Exposition, near Norfolk, Va., by the U.S. Bureau of Fisheries,1907. | Smithsonian Libraries View Book",0
a messenger who carries military dispatches (usually on a motorcycle),Scout and dispatch rider,0
not encumbered with a physical burden or load,1983 film by Marcel Schüpbach,0
dislocation of a joint,entry in Grand dictionnaire universel du XIXe siècle,1
a fungus similar to an earthstar except that it does not open up; the spore mass is brown at maturity with a column of sterile tissue extending up into it,species of fungus,1
a fur coat made of sable furs,hair that covers its body,1
a monocotyledonous genus of the family Iridaceae,"London,Dulau,1886. | New York Botanical Garden, LuEsther T. Mertz Library",1
meal made from ground matzos,flour made of matza,1
an order of fungi having a peridium surrounding a gleba (sometimes placed in subclass Homobasidiomycetes),Wikimedia category,1
informal clothing designed to be worn when you are relaxing,"women's long, full trousers with matching tops worn as resort or leisure wear",1
having no money,lifestyle of people choosing to live without money,1
the basic unit of money in Liberia,currency,1
butter blended with minced onion,"culinary specialty of Alsace (France) consisting of potatoes, bacon, onions, butter, and white wine",1
in some classifications considered a separate family comprising a subgroup of the Compositae including the ragweeds,family of plants,1
a policeman stationed at an intersection to direct traffic,1986 film by Jos Stelling,1
small shrubby mallee,variety of plant,0
small to medium-sized tree of Tasmania,species of plant,1
lacking mirth,1990 single by X Marks the Pedwalk,1
desiring but deprived of sexual gratification,album by Batmobile,1
a short rainstorm accompanied by thunder and lightning,painting by H. Lyman Saÿen,0
a morbid fear of men,abnormal fear of men,1
the Altaic language spoken by Koreans,scientific journal,0
type genus of Hydrangeaceae; large genus of shrubs and some trees and vines with white or pink or blue flower clusters; sometimes placed in family Saxifragaceae,A monograph of the genus Hydrangea by Elizabeth M. McClintock in Proceedings of the California Academy of Sciences (1957),1
not believing in Christ,Wikimedia template,1
clematis of California,Wikimedia category,0
type genus of the family Accipitridae,species of bird,0
lacking social graces,gentle politeness and courtly manners,1
a steroid having androgenic activity; obtained from the cortex of the adrenal gland,chemical compound,1
small brown moth whose larvae bore into flowers and bolls of cotton,"Cairo,Government Press,1917. | University of California Libraries (archive.org) View Book",0
sourwood,Wikimedia category,0
small dark green or yellow ribbed squash with yellow to orange flesh,painting by Henry Lee McFee,0
the series of inert gases,article,1
greyish-white flesh of a flatfish,species of flatfish,1
annual with broadly ovate leaves and slender drooping spikes of crimson flowers; southeastern Asia and Australia; naturalized in North America,"Tirley, Tewkesbury, Gloucestershire, GL19",0
a handsaw with a long narrow blade for cutting short radius curves; similar to a compass saw,narrow saw used for cutting curves,1
having the approximate size of a sparrow,species of bird,1
an unroofed deck,painting by Adolph Gottlieb,0
of or relating to barbers and barbering,1914 film by Norval MacGregor,1
showing both bilateral and radial symmetry,article,1
incapable of being shrunk or diminished or reduced,1964 animated short film directed by Chuck Jones,1
a coin worth nine pennies,Wikimedia list article,1
wash by machine,"(Wash.,1920) | Library of Congress",0
large genus of tropical American mostly epiphytic orchids whose flowers have sepals fused at the base forming a tube; includes orchids sometimes placed in genera Dracula and Dryadella and Scaphosepalum,"London :R.H. Porter,1896. | Multiple institutions View Book",1
small dark green or yellow ribbed squash with yellow to orange flesh,painting by Henry Lee McFee,0
a rocket having two or more rocket engines (each with its own fuel) that are fired in succession and jettisoned when the fuel is exhausted,United States' first multistage rocket Intercontinental ballistic missile,0
a steam-powered automobile,company,0
carry out a pregnancy,arrangement in which a woman carries and delivers a child for another couple or person,1
prolific animal that feeds chiefly on earthworms,Wikimedia category,0
a hybrid produced by crossing parents that are homozygous except for a single gene locus that has two alleles (as in Mendel's experiments with garden peas),mm,1
a former executive department of the United States government; created in 1903 and split into two departments in 1913,"[Washington?]Printed for distribution at the Ter-centennial Exposition, near Norfolk, Va., by the U.S. Bureau of Fisheries,1907. | Smithsonian Libraries View Book",0
incapable of being atoned for,war,1
having clusters of erect branches (often appearing to form a single column),botany,1
any mold of the genus Mucor,species of fungus,0
having distinct longitudinal stripes: of Colorado Plateau from Arizona to western Colorado,species of reptile,1
a brass that is rich in copper; used to make articles that were to be gilded,brass comprising 95% copper and 5% zinc,1
a rugged plateau that runs north to south through central Wales,mountain range,1
type genus of the Helotiaceae,species of fungus,0
small food fish of Atlantic coast,painting by William Aiken Walker,1
in some classifications coextensive with the Homaridae,family of crustaceans,1
someone who attends concerts,album,1
leather suitable for making gloves,"1948 film by Richard Quine, William Asher",1
a change that occurs in degenerative joint disease in which bone is converted into a dense smooth substance resembling ivory,degenerative bone condition,1
black-and-white drumfish with an erect elongated dorsal fin,species of fish,1
type and sole genus of Symplocaceae including sweetleaf,species of insect,1
any of various fabrics (linen or cotton) used to make towels,"absorbent, woven textile with a looped pile on one or both sides",0
grass native to West Indies but common in southern United States having tufted wiry stems often infested with a dark fungus,venue where the sport of tennis is played. It is a firm rectangular surface with a low net stretched across the center. The same surface can be used to play both doubles and singles matches,0
a variety of toadfish,painting by Adolphe Monticelli,1
Asiatic shrub cultivated for its rosy red flowers,Wikimedia category,0
move in one direction and then into the opposite direction,"chess tactic in which a combination of discovered checks and regular checks, usually by a rook and a bishop, often forcing the opposing king to move back and forth between two squares, can win massive amounts of material",1
a thermometer that registers the temperature inside an oven,device to measure temperature,1
moth having dull forewings and red-marked hind wings,Wikimedia category,0
a child's overgarment for cold weather,short story,1
genus of deciduous and evergreen east Asian trees and shrubs widely cultivated as ornamentals for their white flowers and red fruits; in some classifications includes genus Heteromeles,genus of plants,1
similar to Spiranthes romanzoffiana;States,species of plant,1
dentition of permanent teeth,"The hereditary dentin disorders, dentinogenesis imperfecta (DGI) and dentin dysplasia (DD), comprise a group of conditions characterized by abnormal dentin structure affecting either the primary or both the primary and secondary dentitions",1
butter and sugar creamed together with brandy or other flavoring and served with rich puddings,"sweet, rich dessert sauce made by creaming or beating butter and sugar with rum, brandy, whiskey, sherry, vanilla or other flavorings",1
wild dog of northern South America,article,0
the fifth month of the Islamic calendar,fifth month of the Islamic calendar,1
a mass attack of troops without concern for casualties; originated by Japanese who accompanied it with yells of `banzai',term used by the Allied forces to refer to Japanese human wave attacks,1
an open deck including a swimming pool,public swimming spot,1
hybridization using two traits with two alleles each,Ratio of characters,1
a pulley-block that can be opened to receive the bight of a rope,sailing term; single or multiple pulley,1
relating to a type of sexual reproduction in which the gametes are dissimilar in some respect (as size or shape),"form of sexual reproduction that involves the union or fusion of two gametes, which differ in size and/or form",1
a greater than average tide occurring during the new and full moons,when difference in water height between high tide and low tide is the largest (Sun and Moon on one line),1
a tripod used to support a camera,"provides for the stable formation of cameras, lights, microphones, laboratory instruments or measuring instruments",1
"two genera of erect or twining herbs that are pollinated by the wind, including the genera Cannabis and Humulus; term not used in all classifications; in some the genus Cannabis is placed in the family Moraceae and the genus Humulus in the family Urticaceae",family of plants,1
any of several plants of the genus Brodiaea having basal grasslike leaves and globose flower heads on leafless stems resembling those of genus Allium,species of plant,0
New Zealand forest tree,species of plant,1
in cold blood,property of organism whose internal temperature varies considerably,0
racial segregation enforced primarily in public transportation and hotels and restaurants and other public places,system of racial segregation based on skin colour common in South Africa,1
type genus of Hydnaceae,species of fungus,0
nocturnal lemur with long bony fingers and rodent-like incisor teeth closely related to the lemurs,association football player,0
small Eurasian teal,article,0
cypress of river valleys of Mexican highlands,Wikimedia category,0
a small poisonous agaric; has a dry white cap with crowded gills and a short stalk,synonym of fungus (basionym),0
of western North America,"painting by Mary Vaux Walcott (American Art, 1970.355.502)",0
sourwood,Wikimedia category,0
the forward tip of the upper of a shoe or boot that provides space and protection for the toes,subspecies of reptile,1
type genus of Treponemataceae: anaerobic spirochetes with an undulating rigid body; parasitic in warm-blooded animals,Agents used to treat infections with bacteria of the genus treponema. This includes syphilis & yaws,1
able to communicate in Oscan,extinct language of southern Italy,1
fast-growing tree of India and East Indies yielding a wood used especially for building,species of plant,1
a shop that sells secondhand goods at reduced prices,shop which sells goods that are not new,1
protected with battlements or parapets with indentations or embrasures for shooting through,"Bath and North East Somerset, Somerset, BA1",0
purplish-red table grape,painting by Edwin Deakin,1
a crystalline unsaturated fatty acid,chemical compound,1
a reflecting telescope so constructed that the light is led to a plate holder or spectrograph,telescopes that reflect light with a combination of mirrors,1
having widely spreading paired branches,journal article; published in Advanced Robotics in 2001,0
sea bream of warm Atlantic waters,Wikimedia category,0
someone who is indifferent or hostile to religion,Wikimedia template,1
ribbonfishes,family of fishes,1
tight trousers worn by people from the Indian subcontinent (typically with a kameez or kurta),tightly fitting trousers worn by both men and women in South Asia,1
any of a small family of lizards widely distributed in warm areas; all are harmless and useful as destroyers of e.g. slugs and insects,group of anguid lizards,0
socialism achieved by voluntary sacrifice,"Polish writer, journalist, traveler, publicist and poet, Polish-French translator, supporter of national romanticism and utopian socialism",0
fire for which the point of impact (the burst) can be seen by an observer; fire can be adjusted on the basis of the observations,article,1
fern of Peru and Bolivia,species of plant,1
densely hairy plant with rayless flowers; San Francisco Bay area,species of plant,1
suspended animation in organisms during periods of extreme drought from which they revive when moisture returns,state of minimized physical activity of an organism,1
squash plant bearing small acorn-shaped fruits having yellow flesh and dark green or yellow rind with longitudinal ridges,painting by Henry Lee McFee,0
any mold of the genus Mucor,species of fungus,0
Paleozoic simple dichotomously branched plants of Europe and eastern Canada including the oldest known vascular land plants,family of plants,0
very large yellowish-brown American silkworm moth with large eyespots on hind wings; larvae feed on fruit and shade trees,Wikimedia category,0
bread containing chopped nuts,Wikimedia list article,1
unfermented cider,non-alcoholic apple beverage,1
an agaric with a relatively small pink to red cap and white gills and stalk,species of fungus,1
any of various rodents with cheek pouches,"bay in Lake County, United States of America",1
an edible fungus with a dark reddish brown cap and a wide light tan stalk that expands toward the base,species of fungus,1
hybrid winter-blooming begonia grown for its many large pink flowers,nothospecies of flowering plant,1
an able-bodied man serving as a member of a posse,American Old West figure and Wyatt Earp posseman,1
any of several small to medium-sized trees of Florida and West Indies with thin scaly bark and heavy dark heartwood,species of plant,1
a jelly fungus with an erect whitish fruiting body and a highly variable shape (sometimes resembling coral fungi),species of fungus,1
an English translation of the Vulgate by Roman Catholic scholars,First complete English language Catholic Bible,1
cloth covered with powdered emery,coated abrasive,1
moth having dull forewings and red-marked hind wings,Wikimedia category,0
variety inhabiting the Great Lakes,subspecies of fish,1
the single-handed rod casting of a relatively heavy (artificial) bait,"New York,The Macmillan company,[c1918] | University of California Libraries (archive.org) View Book",0
a domestic long-wool sheep,breed of sheep originating in England,0
lotion used to soften the hands,low-viscosity topical preparation intended for application to unbroken skin,1
very small Argentine armadillo with pale silky hair and pink plates on head and neck,article,0
having no color,Human disease,0
saxifrage having loose clusters of white flowers on hairy stems growing from a cluster of basal leaves; moist slopes of western North America,species of plant,1
a louse parasitic on poultry,species of insect,1
dry to sweet amber wine from the Jerez region of southern Spain or similar wines produced elsewhere; usually drunk as an aperitif,given name,1
a kind of scorpionfish,species of fish,1
a short rainstorm accompanied by thunder and lightning,painting by H. Lyman Saÿen,0
a capacitor that provides low impedance over certain (high) frequencies,capacitor used to decouple one part of an electrical circuit from another,1
European perennial toxic vetch,Wikimedia category,0
dry to sweet amber wine from the Jerez region of southern Spain or similar wines produced elsewhere; usually drunk as an aperitif,badminton player,0
not domestic or related to home,book,1
having a head of straight hair cut very short (hence bristly),species of plant,1
very large deep-water snake mackerel,journal article; published in African Zoology in 2017,0
California herb with pinkish purple flowers,Wikimedia category,0
small shrubby tree of western North America (Alaska to Oregon),Wikimedia category,0
the determination of how long ago different languages evolved from a common source language,part of lexicostatistics dealing with the chronological relationship between languages,1
a suet pudding containing currants,pudding popular in Britain,1
become or cause to become unobstructed,article,1
in an appealing but bold manner,"character from Shakespeare's ""Midsummer Night's Dream"" play",0
swordtails,species of insect (fossil),1
semisolid fat from nuts of the cohune palm; used in cooking and soap making,chemical compound,1
a variety of pussytoes,genus of plants,1
preserve with sugar,InterPro Conserved Site,1
leafy greens collected from the wild and used as a substitute for spinach,species of plant,1
utensils made with copper,painting by Pedro Alexandrino,1
very small Argentine armadillo with pale silky hair and pink plates on head and neck,article,0
a heavy corded fabric similar to corduroy; used for clothing,durable woven textile with a warp-wise rib,1
streamlined cigar-shaped jack; good game fish,Wikimedia category,0
an unroofed deck,painting by Adolph Gottlieb,0
a small poisonous agaric; has a dry white cap with crowded gills and a short stalk,synonym of fungus (basionym),0
the anterior lobe of the cerebellum which was one of the earliest parts of the hindbrain to develop in mammals,region of the brain that coordinates motor functions and muscle tone,1
any of several rough-skinned newts found in western North America,genus of amphibians,1
shrub honeysuckle with drooping spikes of purplish flowers,Wikimedia category,0
in some classifications considered the family comprising the giant pandas,species of mammal,1
stock held by stockholders of record on a given date,British record producer,0
a Chadic language spoken in Chad,Wikimedia category,0
an important Central American mahogany tree,"By James Prestini ((American, born Italy. 1908–1993)); c. 1943; Honduras mahogany; 1 7/8 x 11 1/8"" (4.8 x 28.3 cm)",0
streamlined cigar-shaped jack; good game fish,Wikimedia category,0
a bowl for holding breakfast cereal,park in the United States of America,1
having deep narrow furrows or grooves,"in anatomy, a furrow or fissure",1
at a tremendous rate,album by Mike Mictlan,1
an environmentalist political party,political party in Brazil,0
an edible (but not choice) fungus found on soil under hardwoods; has a dry convex cap with whitish under surface and a reticulate stalk,species of fungus,1
a long thin lower jaw,Protrusion of the upper or lower human jaw,1
a house where weapons and supplies are hidden,2012 film by Eduardo Rodríguez,1
a religious holiday for Christians,holy day within Christianity,1
a dry swab for dusting floors,mass or bundle of coarse strings or yarn attached to a stick,1
vindication of a person's character and the re-establishment of that person's reputation,journal,1
unceasing,"Kittrell, N.C. :Continental Plant Co.,[1914] | U.S. Department of Agriculture, National Agricultural Library",1
port city and industrial center in east central Ukraine on the Dnieper River,"city in Dnipropetrovsk Oblast, Ukraine",1
an extinct genus of Hominoidea,species of mammal (fossil),0
a genus of tropical American trees of the family Sapotaceae,"1984. | University of Florida, George A. Smathers Libraries View Book",0
lamp in which an electric current passed through a tube of sodium vapor makes a yellow light; used is street lighting,gas-discharge lamp that uses sodium in an excited state to produce light,1
large shrub of South Africa having many conspicuously hairy branches with large hairy leaves and clusters of conspicuous white flowers,species of plant,1
very small Argentine armadillo with pale silky hair and pink plates on head and neck,article,0
stout hairy annual of eastern North America with sweet yellow fruits,Wikimedia category,0
perennial herb found on streams and riversides throughout Europe except extreme north and Mediterranean; sometimes placed in genus Nasturtium,Wikimedia category,0
ribbonfishes,Wikimedia category,0
small tree of West Africa,variety of plants,0
a small poisonous agaric; has a dry white cap with crowded gills and a short stalk,synonym of fungus (basionym),0
close relative to the desert tortoise; may be reclassified as a member of genus Xerobates,"Lubbock, TX :Museum of Texas Tech University,2000. | Museum of Texas Tech University",0
consistently decreasing,function between ordered sets that preserves or reverses the given order,1
the Tibeto-Burman language spoken in northern Burma and Yunnan,Wikimedia template,0
epiphyte or creeping on rocks; Malaysian plant having somewhat fleshy leaves and bright red flowers,species of plant,1
without making errors,a term used differently by different authors concerning biblical interpretation,1
genus of smut fungus,species of fungus,0
right of a warehouseman to retain goods until all storage charges have been paid,a security on property or debt,1
protected with battlements or parapets with indentations or embrasures for shooting through,"Bath and North East Somerset, Somerset, BA1",0
wash by machine,"(Wash.,1920) | Library of Congress",0
annual weedy grass used for hay,species of plant,1
a substance producing irritation,"Toxicology: Principles and Practice. Reeves AL, Sperling F, eds., New York: Wiley, 1981 Jan; 1:48-92",0
subshrub having short leafy stems and numerous small flower heads with nearly round yellow-orange rays; Arizona south to Mexico and east to Kansas,painting by Mary Vaux Walcott,0
a theater stage that extends out into the audience's part of a theater and has seats on three sides,designated space for the performance of productions,0
jawfishes,family of fishes,1
an alto oboe; precursor of the English horn,instrument in the oboe family,1
moth having dull forewings and red-marked hind wings,Wikimedia category,0
storeroom for storing goods and supplies used in a business,goods held for resale,1
very tender biscuit partially leavened with buttermilk and soda,"North American small baked goods with a firm browned crust and a soft interior, made with baking powder or baking soda",1
having the color of cinnamon,species of mammal,1
wash by machine,"(Wash.,1920) | Library of Congress",0
of southern South America,species of mammal,1
very thin crisp brown toast,"dry, crisp, thinly sliced toast, often served with soup and salad or topped with either melted cheese or pâté, named after Nellie Melba, invented by Auguste Escoffier",1
a family of ctenophores,family of ctenophores,1
United States physicist (born in China) who collaborated with Tsung Dao Lee in disproving the principle of conservation of parity (born in 1922),Chinese physicist,1
abnormal attraction to filth,sexual fetish or paraphilia that involves deriving erotic pleasure from soiling or disheveling the object of one's desire,1
woodland flower native to eastern North America having cup-shaped flowers reminiscent of anemone but more delicate,species of plant,1
seeds shelled and cooked as lima beans,food,1
informal term,dog breed,1
tropical American terrestrial fern with leathery lanceolate fronds; sometimes placed in genus Polybotrya,species of plant,1
a large pipe wrench with L-shaped adjustable jaws that tighten as pressure on the handle is increased,adjustable wrench for turning pipes and other round fittings,1
tropical American evergreen trees or shrubs,species of plant,0
wash by machine,"(Wash.,1920) | Library of Congress",0
type genus of the Pteroclididae,species of bird,0
an armchair with an adjustable back,type of reclining chair,1
the basic unit of money in Swaziland; equal to 100 cents,currency of Swaziland,1
one of a series of hooks used to hold cloth on a tenter,hooked nail for use in a tenterframe,1
having no money,"writer, activist, freeconomist",0
paper that is impermeable to oil or grease; used in cooking,paper,1
type genus of the Caprimulgidae,species of bird,0
tropical American evergreen trees or shrubs,species of plant,0
the first council of the Western Church held in the Lateran Palace in 1123; focused on church discipline and made plans to recover the Holy Lands from the Muslim `infidels',Roman Catholic synod of 1123,1
wild dog of northern South America,article,0
of white tinged with purple,painting by Mark Rothko (Marcus Rothkowitz),0
a cannon that can be fired at a high elevation for relatively short ranges,World War II naval gun of the Imperial Japanese Navy,1
a person who receives or invests or pays out money,Indian banker and money dealer (fl. 1750–1770),1
easily moved to love,comedy written by Christian Fürchtegott Gellert,1
radiometer that is extremely sensitive,device for measuring the radiant flux (power) of electromagnetic radiation,1
electronic equipment consisting of a combination of a radio receiver and a record player,US consumer electronics distributor,1
begin to play or sing,television series,1
an order of fungi belonging to the class Gasteromycetes; has a distinct basidiocarp with a fleshy or waxy gleba (sometimes placed in subclass Homobasidiomycetes),Wikimedia category,1
tropical American evergreen trees or shrubs,species of plant,0
much-branched erect herb with bright yellow flowers; distributed from Massachusetts to Florida,species of plant,1
nearly opposite to the direction from which wind is coming,"Course (an imaginary line) on which a boat, sailing close on the wind, can just make a windward mark without tacking",1
a removable circuit board for a personal computer; fits into a slot in the mother board,board to support and connect electronic components,1
of or relating to tympanites,article,1
true vampire bats,subfamily of mammals,1
homicide committed by shooting from a moving automobile,album by Parkway Drive,1
having only pectoral fins enlarged,family of marine fishes,1
hydrarthrosis affecting the knee,mild knee joint effusion,1
a very deep bass voice,vocal range,0
any of a small family of lizards widely distributed in warm areas; all are harmless and useful as destroyers of e.g. slugs and insects,family of reptiles,1
small wrasse of tropical Atlantic,species of fish,1
any of various much-branched yellow-flowered shrubs of the genus Chrysothamnus; western North America,species of plant,0
ribbonfishes,Wikimedia category,0
a person who deserves to be hanged,2006 novel by Camilla Läckberg,1
slender shrubby willow of dry areas of North America,variety of plant,0
a ruler one foot long,article,1
legendary Sumerian king and hero of Sumerian and Babylonian epics,Sumerian ruler,1
tropical African and Asiatic trees and shrubs having one-seeded fruit,species of plant,0
a theater stage that extends out into the audience's part of a theater and has seats on three sides,designated space for the performance of productions,0
primitive oviparous mammals found only in Australia and Tasmania and New Guinea,subclass of mammals,1
partly refined paraffin wax,respirable vapor of paraffin wax,1
an explosive device concealed inside the heel and sole of a shoe,"failed bombing attempt that occurred on December 22, 2001",1
provided with necessary articles of equipment for a specialized purpose (especially military),painting by British (English) School,1
monotypic family of fungi in which the more or less spherical gleba is forcibly ejected at maturity,family of fungi,1
admiration for women,"fondness, love, or admiration towards women",1
large Chinese deer surviving only in domesticated herds,species of mammal,1
large Chinese deer surviving only in domesticated herds,Wikimedia category,0
type genus of Hydnaceae,species of fungus,0
small shrubby tree of western North America (Alaska to Oregon),Wikimedia category,0
half-hardy Mexican herb cultivated for its drooping terminal umbels of showy red-and-white flowers,species of plant,1
small hybrid apricot of Asia and Asia Minor having purplish twigs and white flowers following by inferior purple fruit,species of plant,1
climbing shrub with adhesive aerial roots having opposite leaves and small white flowers in terminal cymes; Himalayas to Taiwan and Japan,species of plant,1
western United States herb with scarlet and yellow narrow bell-shaped flowers,species of plant,1
the Shastan language spoken by the Atsugewi,Wikimedia category,0
a wooden dummy into which a ventriloquist projects the voice,ability to throw one's voice,1
California herb with pinkish purple flowers,Wikimedia category,0
a genus of Cuculidae,species of bird,0
a deity worshipped by the Japanese,Japanese deity,1
close relative to the desert tortoise; may be reclassified as a member of genus Xerobates,"Lubbock, TX :Museum of Texas Tech University,2000. | Museum of Texas Tech University",0
deciduous shrub or small tree with pyramidal flower clusters,Wikimedia category,0
genus of showy South American herbs with leafy stems; sometimes placed in family Alstroemeriaceae or in family Amaryllidaceae," Specie of genus Alstroemeria, endemic from Chile.",1
a wage earner who is served with a garnishment,American legal process for collecting a monetary judgment directly from a debtor's wages or assets,1
an English translation of the Vulgate by Roman Catholic scholars,Challoner's revision of the DRB,0
thimbleweed of northern North America,species of plant,1
of western North America,"painting by Mary Vaux Walcott (American Art, 1970.355.502)",0
spruce grouse,Wikimedia category,0
a variety of water plantain,species of plant,1
"be inactive, as if asleep","The process by which, after initial infection, a virus lies dormant within a cell and viral production ceases. The process ends when the virus switches from latency and starts to replicate.",1
very light cake,light cake,1
(of a hat) having a high crown,formation of teeth,1
(of persons),album by Camera Obscura,1
related to or resembling an almond,chemical compound,1
densely hairy perennial having mostly triangular basal leaves and rose-purple flowers in panicled clusters,species of plant,1
a chemical substance that causes sneezing and coughing and crying,"reflexive, convulsive expulsion of air from the lungs through the nose and mouth",1
wash by machine,"(Wash.,1920) | Library of Congress",0
not fit to fly,aircraft or part thereof fitness for flight,1
having no money,"writer, activist, freeconomist",0
fungal infection attacking moist parts of the body,"type of fungal infection of the groin region in either sex, though more often seen in males",1
white Australian cockatoo with roseate tinged plumage,species of bird,1
an English translation of the Vulgate by Roman Catholic scholars,Challoner's revision of the DRB,0
change in size or magnitude,article,1
a lever with a pointed projection that serves as a fulcrum; used to roll heavy wheels,hand tool used for pulling nails with leverage,1
a messenger who carries military dispatches (usually on a motorcycle),Scout and dispatch rider,0
large genus of tropical climbing orchids; Old and New Worlds,genus of plants,1
squash plant bearing small acorn-shaped fruits having yellow flesh and dark green or yellow rind with longitudinal ridges,painting by Henry Lee McFee,0
West Indian timber tree having very hard wood,species of plant,1
type genus of the Caprimulgidae,species of bird,0
tropical American evergreen trees or shrubs,species of plant,0
having no color,Human disease,0
moth whose larvae feed on grain,"New Orleans :Agricultural Research Service, U.S. Dept. of Agriculture,1976. | U.S. Department of Agriculture, National Agricultural Library View Book",0
a blond whose hair is bleached with peroxide,hair color,1
a steam-powered automobile,company,0
upright rhizomatous perennial with bright blue flowers; southern Europe,Wikimedia category,0
type genus of the Icteridae,species of bird,0
"march out, in a file",tool,1
a naturally occurring or synthetic compound consisting of large molecules made up of a linked series of repeated simple monomers,journal,1
type genus of the Caprimulgidae,species of bird,0
someone who is attending a party,character from 2005 film 'Twitches',1
having widely spreading paired branches,journal article; published in Advanced Robotics in 2001,0
a statute regulating work on Sundays,county in New Jersey,0
small brown moth whose larvae bore into flowers and bolls of cotton,"Cairo,Government Press,1917. | University of California Libraries (archive.org) View Book",0
tasting or smelling like vinegar,chemical compound,1
very slender aerobic spirochetes; free-living or parasitic in mammals,article,1
(of plants such as dandelions and thistles) having pappi or tufts of featherlike hairs or delicate bristles,subspecies of plant,1
a deity worshipped by the Japanese,divine being in Shinto,0
causing nasal discharge,practice of inhaling a substance,1
widely distributed in warm clear shallow streams,species of fish,1
mat-forming herb of Turkestan with nearly double orange-yellow flowers,species of plant,1
scale insects,article,0
sourwood,Wikimedia category,0
fossil hagfish of the Pennsylvanian period (c. 300 million years ago) that resembled modern hagfishes,"species of eel-shaped, slime-producing, marine fish (fossil)",1
small orchid with two elliptic leaves and a slender raceme of small green flowers; western North America,species of plant,1
anchusa of southern Africa having blue to red-purple flowers,species of plant,1
