synset_id,synset_description,synset_words,wikidata_qnode,wikidata_description,wikidata_labels,gained_votes
irish.n.03,the Celtic language of Ireland,"Irish,Irish_Gaelic",Q9142,Celtic language spoken in Ireland,"Irish,Irish_Gaelic,Irish_language,Irish-language,(Irish),Gaelic_word,article,ga,Irish/French/English,Gaelach,gaelic,as_Gaeilge,Irish_language,Irish_language,varieties_of_Irish,Irish,Modern_Irish,Irish_speaker,Early_Modern_Irish,Gaeilge,Irishman,Irish/Gaeilge,L2_Irish,Irish-medium,Irish_(Gaelic),Ireland,Irish_Medium,Old_Irish,Irish-Language,Ir.,Old_Irish_Gaelic,Irish_Gaelic_Language,language,Irish_speakers,modern_Irish,Ulster_Gaelic,native_Irish_speaker,''Ir''.,''Ir.'',Irish:,Irish-sounding_accent,Irish_language#Percentage_of_Irish-Speakers_by_County,Gaelic-Irish,Ulster,Irish_script,Goidelic,Irish_culture_and_language,Irish-speaking_area,Irish_dialect,dot_accent,Irish-Gaelic,Irish_language#Dialects,Words_used_in_the_English_language,Irish_Celtic,own_language,Gaelic,Irish_(Gaeilge),Irish_Old_Irish,_Middle_Irish,_Classical_Gaelic,_Latin,national_idiom,Irish_Language,standardised_spelling,Irish_,Erse_Gaelic,Ir,Gaelic_Irish,Ga.,Gaelic_language,ancient_Irish,Irish_Gaelic,Irish-speaking,dialect_to_dialect",7|8
epigastrium.n.01,the region lying on or over the stomach (just below the sternum),epigastrium,Q942777,upper central region of the abdomen,"epigastrium,epigastric_region,Epigastrium,pain_in_the_upper_abdomen,Epigastrium,epigastrium,upper_abdominal_pain,over_the_stomach,upper_abdominal,mid-epigastrium,upper_central,epigastric_region,upper_central_abdomen,epigastric,upper_part_of_the_abdomen,upper_abdomen",7|8
tutankhamen.n.01,Pharaoh of Egypt around 1358 BC; his tomb was discovered almost intact by Howard Carter in 1922,Tutankhamen,Q12154,14th century BCE (18th dynasty) Egyptian pharaoh,"Tutankhamon,King_Tut,Tutenkhamon,Tutenkhamen,Tutankhaten,Tutankhamun,Tutankhamen,Tutankhamun,Egyptian_king,Tutankhamun's,King_Tutankhamun_Exhibition,King_Tut's_Tomb,Tut-Ench-Amun,Tutankhamun_Period,Tutankhaten,1976–1979_exhibition,Form-Living-(of)-,King_Tutankhamun,Tutankhamun's_tomb,King_Tutankhamen's,\,Tutankhamon,King_Tutankhamen,Treasures_of_Tutankhamun,Tutankhamen,The_Mystery_of_the_Burnt_Mummy,Tutankhamun,King_Tut-ankh-amen,King_Tut's,Tutenkhamen,King_Tut",7|8
cytogenesis.n.01,the origin and development and variation of cells,"cytogenesis,cytogeny",Q57794575,article,"Double_Adenomas_of_the_Pituitary:_Transcription_Factors_Pit-1,_T-pit,_and_SF-1_Identify_Cytogenesis_and_Differentiation",7|8
psalterium.n.01,the third compartment of the stomach of a ruminant,"psalterium,omasum,third_stomach",Q846746,third of the four stomach compartments in ruminants,"omasum,Omasum,leaf_tripe,ribbed_part_of_the_tripe,third_chamber,Omasum,omasum",7|8
nancere.n.01,a Chadic language spoken in Chad,Nancere,Q3140491,language,"Nancere,Nancere_language,Nancere_language,Nancere,Nancere_language",7|8
soybean_oil.n.01,oil from soya beans,"soybean_oil,soyabean_oil",Q11006,species of plant,"Glycine_max,soya_bean_plant,soybean_plant,soy_bean_plant,soy_plant,Soybean,Soybean_Production,Soybean_flour,soy_beans,soya_oil,soya_meal,soyabin,Soya_Bean,Soy_flour,bean,Soy-beans,Soybean_plants,Soybean,yellow_soybean,black_soybeans,Soybean#Infant_formula,soya_beans,Soya,soybean,Soybean_Varieties,soybeans,Genetic_modifications_to_soybeans,soybean_kernels,Soy_plantation,soybean_,Soybean#Soy-based_infant_formula,soyabeans,toxic,Soya_beans,soybean_powder,Soybean#Flour,soy_isoflavones,soybean_oil,soy_flour,Soybean_oil,Soybean_infant_formula,Soybean_cultivation,Soy,Soybean#Isoflavones,230,900,000,Early_Soybean_Cultivation,soya_bean,Soybean#Health_risks,Soy_beans,soyabean,soy_sprouts,Largest_soybean_producer,Soybean#Carcinogenicity,Bhatmaas,soya,soy_products,Soy_products,Glycine_max,soy,Soybean_Oil",7|8
shooting.n.01,the act of firing a projectile,"shooting,shot",Q2252077,act or process of firing firearms or other projectile weapons,"shooting,shootings,Shooting,Accidental_shooting,sports_shooter,gunfire,Shooting_sport,firearms_skills,gun_shots,Sport_Shooting,shoot,Shooting_(Air_Pistol),firing,marksmanship,sport_shooter,Shooting_Competition,fired_shots,marksmen,marksman,Firing,Shooting_-_Pistol,Shooting_-_Rifle,Shooter,competitive_shooters,marksmanship_abilities,Skeet,shooter,Range,Gunfire_at_the_US_Consulate,Shot,Shooting,fire,Marksmanship,shoots,shooters,Range_Team,Shooting_Sports,clay-pigeon_shooting,shooting,gunshots,shot",7|8
kludge.n.01,a badly assembled collection of parts hastily assembled to serve some particular purpose (often used to refer to computing systems or software that has been badly put together),kludge,Q15138518,unconventional solution for a hardware or software problem,"kludge,hack,mess,botch-up,Kludge,Kludge#Computer_science,hacks,Kludge,hack,klugey,Kludge#In_computer_science,kludge",7|8
arousal.n.03,awakening from sleep,arousal,Q379784,physiological and psychological state of being awoken,"arousal,Arousal,Physiological_arousal,Arousal,arousal,underaroused_state,aroused,activation,autonomic_arousal,Arousal,Physiological_reactions,emotional_arousal",7|8
hestia.n.01,(Greek mythology) the goddess of the hearth and its fire in ancient mythology; identified with Roman Vesta,Hestia,Q41419,Greek goddess,"Hestia,Histia,Hestia,hestia,Hestia,Vesta,Estias,Greek_goddess,protectress_of_the_hearth",7|8
blood_blister.n.01,blister containing blood or bloody serum usually caused by an injury,blood_blister,Q61974911,clinical trial,DIVERT:_Diversion_of_Flow_in_Intracranial_VErtebral_and_Blood_Blister-like_Ruptured_Aneurysms_Trial:_A_Randomized_Trial_Comparing_Pipeline_Flow_Diversion_and_Best-Standard-Treatment,7|8
personality_inventory.n.01,a questionnaire that is supposed to yield a description of a person's personality traits,"personality_inventory,personality_assessment",Q556298,personality test used in clinical psychology evaluations,"Minnesota_Multiphasic_Personality_Inventory,MMPI,Minnesota_Multiphasic_Personality_Inventory,K-factor,Minnesota_Multiphasic_Personality_Inventory#MMPI-2-RF,Minnesota_Multiphasic_Personality_Inventory#MMPI-A,validity_scales,Minnesota_Multiphasic_Personality_Inventory#MMPI-2,Minnesota_Multiphasic_Personality_Inventory-2_(MMPI-2),scales,MMPI,Minnesota_Multiphasic_Personality_Inventory_(MMPI),Validity_scale,mmpi,MMPI_K_Scale,Minnesota_Multiphasic_Personality_Inventory#Validity_scales,Minnesota_Multiphasic_Personality_Inventory#Validity_scales,computer-based_personality_test,F-scale,Restructured_Clinical,MMPI-2,Minnesota_multiphasic_personality_inventory,Minnesota_Multiphasic_Personality_Inventory",7|8
pentagon.n.01,a government building with five sides that serves as the headquarters of the United States Department of Defense,Pentagon,Q11208,headquarters of the United States Department of Defense,"The_Pentagon,Pentagon,The_Pentagon,the_Pentagon,Pentagon_South_Parking,March_on_the_Pentagon,Pentagon_Hall_of_Heroes,Air_Force_Headquarters,Dept._of_Defense,Pentagon's_Hall_of_Heroes,Washington,_D.C.,911_attack,he_Pentagon,Pentagon_North_Parking,the_U.S._Pentagon,damaged_Pentagon,Headquarters_USAF,Pentagon_Budget_Office,Air_Force_headquarters,Pentagon_spokesman,Department_of_Defense,Pentagon_building,Pentagon's,A_pentagonal_building,Pentagon’s,The_Pentagon,U.S._Pentagon,The_Pentagon,pentagon,Pentagon,United_States_Pentagon,The_Pentagon#Shooting_incidents,Headquarters,_United_States_Air_Force",7|8
versace.n.01,Italian fashion designer (1946-1997),"Versace,Gianni_Versace",Q229437,Italian fashion designer,"Donatella_Versace,Donatella_Versace,Daniel_Paul,Donatella_Versace,Donatella",7|8
simplify.v.01,make simpler or easier or reduce in complexity or extent,simplify,Q1810858,software designed to simplify creating and maintaining weblogs,"blog_software,weblog_software,blogging_software",7|8
elbow.n.04,the part of a sleeve that covers the elbow joint,elbow,Q736776,condition in which the outer part of the elbow becomes sore and tender,"tennis_elbow,lateral_epicondylitis,Tennis_elbow,Tennis_elbow_(lateral_epicondylitis),Tennis_elbow,Tennis_elbow#Treatment,Tennis_elbow#Surgery,tennis_elbow",7|8
perchlorate.n.01,a salt of perchloric acid,perchlorate,Q56385131,article,"Perchlorate:_Problems,_Detection,_and_Solutions",7|8
marshalling_yard.n.01,a railway yard in which trains are assembled and goods are loaded,marshalling_yard,Q519608,rail yard used for assembling rail cars into trains,"classification_yard,marshalling_yard,Classification_yard,sorting_yard,Classification_yard#Flat_yard,yards.,Hump_yards,rail_yard,Classification_yard#Hump_yard,hump_yards,marshalling/goods_yards,sorting_yards,marshalling_yards,railroad_yard,rail_classification_yards,railway_yard,hump_yard,Classification_yard#Gravity_yard,train_yard,Yard,yards,goods_station,classification,marshalling_(classification)_yard,classification_yard,goods_yard,railroad_shunting_yard,hump_shunting,shunting_yard,railway_goods_yards,classification_hump_yard,hump_classification_yard,railyard,Classification_yard#Hump_yards,marshaling_yard,rail_yards,marshalling_yard,Triage,hump-yard,marshalling,Classification_yard,classification_railroad_yards,flat_classification_yard,railroad_marshaling_yard,trainyard,freight_yard_with_a_hump,Marshalling_(UK)_or_classification_(US)_yard,a_railroad_yard,Rail_Yards,Marshalling_Yard,flat-switched_yard,railway_marshalling_yard,train_yards,Maintenance_yard,Hump,classify,humps,hump,classification_roads,marshalling_yard_hump,hump_classification_yards,hump_classification,switching_yards,rail_classification_yard,shunting_yards,yard",7|8
hannibal.n.02,a town in northeast Missouri on the Mississippi River; boyhood home of Mark Twain,Hannibal,Q961975,"city in Missouri, USA","Hannibal,Hannibal,_Missouri,115,Hannibal_MO,Bowling_Green,_Missouri,Hannibal,_MO,Hannibal,_Missouri,Hannibal,Missouri,Hannibal,_Missouri#Hannibal_residents,Mark_Twain_Riverboat,Mark_Twain_Memorial_Lighthouse,Hannibal,_Mo.",7|8
vision.n.01,a vivid mental image,vision,Q844240,computerized information extraction from images,"computer_vision,Computer_Vision,Computer_vision,images,computer-vision,computer,optically,Computer_vision#History,computer_imaging,Computer_vision#Recognition,Vision_systems,computer_vision,artificial_vision,texture-based_computer_vision,recognition,Computer_Vision,image_recognition_technology,image_recognition,vision,Vision,Computer_vision#Recognition,advanced_video_computer_software,see,Computer_vision#Texture_recognition,Image_recognition,Computer_vision,Computer_vision#Computer_vision_systems,read_scientific_papers_in_a_similar_way_to_humans,vision_system,image_and_video_recognition,machine_and_computer_vision,vision_systems",7|8
road_to_damascus.n.01,a sudden turning point in a person's life (similar to the sudden conversion of the Apostle Paul on the road from Jerusalem to Damascus of arrest Christians),road_to_Damascus,Q901397,event that led Paul to cease persecuting early Christians and to become an apostle of Jesus,"conversion_of_Paul_the_Apostle,Conversion_of_Paul_the_Apostle,The_Conversion_of_St._Paul,Conversion_of_Paul_the_Apostle#Feast,conversion_experience_on_the_road_to_Damascus,Conversion_of_St_Paul,St._Paul_on_the_highway,Saint_Paul_in_Conversion,Feast_of_the_Conversion_of_Saint_Paul_the_Apostle,experience_on_the_Damascus_Road,Paul_Recounts_His_Conversion,conversion_of_Paul,conversion_of_Saul_of_Tarsus,Conv._St._Paul,Paul_on_the_road_to_Damascus,Conversion_of_St_Pau,conversion_experience,conversion_to_Christianity,The_Conversion_of_Saint_Paul,Damascus_Road,Christianity,Road_to_Damascus,conversion,his_conversion,conversion_of_Paul_the_Apostle,Paul_is_converted,St_Paul_on_the_Road_to_Damascus,Conversion_of_Saint_Paul,converted,Paul's_Conversion,Conversion,Damascus_moment,Conversion_of_Paul_the_Apostle,seen_Jesus,change_of_faith,St_Paul's_Day,Paul's_conversion,Conversion_of_Paul_the_Apostle#On_the_road_to_Damascus",7|8
window_shade.n.01,an opaque window blind that can cover or uncover a window,window_shade,Q321046,type of window covering,"window_blind,windowshade,window_shade,Window_blind,Venetian_Blinds,Window_blind#Roman,holland_blind,Window_blind#Cellular_Shades,window_shade,panel_curtains,_vertical_blinds_and_Roman_blinds,Venetian_shades,shading,venetian_blind,Venetian_Blind,Venetian_blind,blind,shades,blinds,Window_blind#Venetian,Window_blinds,Window_blind,slats,Window_blind#Automobile_blinds,Window_blind#Venetian,window_blind,Venetian_blinds,windowshade,window_shade_or_blind,venetian_blinds,roller_blind",7|8
hydronephrosis.n.01,accumulation of urine in the kidney because of an obstruction in the ureter,hydronephrosis,Q4352832,autosomal recessive disease that is characterized by inverted facial expressions in association with a severe and early-onset form of dysfunctional urinary voiding,"urofacial_syndrome,Ochoa_syndrome,hydronephrosis_with_peculiar_facial_expression,Hydronephrosis-inverted_smile_syndrome,Inverted_smile-neurogenic_bladder_syndrome,Urofacial_syndrome,Partial_facial_palsy_with_urinary_abnormalities,Urofacial_syndrome,urofacial_syndrome,Urofacial_syndrome",7|8
general_anesthetic.n.01,an anesthetic that anesthetizes the entire body and causes loss of consciousness,"general_anesthetic,general_anaesthetic",Q50430236,"Agents that induce various degrees of analgesia; depression of consciousness, circulation, and respiration; relaxation of skeletal muscle; reduction of reflex activity; and amnesia. There are two types of general anesthetics, inhalation and intraven","Anesthetics,_General,General_Anesthetics",7|8
block_grant.n.01,a grant of federal money to state and local governments to support social welfare programs,block_grant,Q59598337,Congressional Research Service report,The_Temporary_Assistance_for_Needy_Families_Block_Grant:_An_Overview,7|8
exponentially.r.01,in an exponential manner,exponentially,Q56593689,article,Forecasting_Sales_by_Exponentially_Weighted_Moving_Averages,7|8
cationic.a.01,of or relating to cations,cationic,Q56443622,article,Toxicity_of_Gold_Nanoparticles_Functionalized_with_Cationic_and_Anionic_Side_Chains,7|8
lubrication.n.01,the condition of having been made smooth or slippery by the application of a lubricant,lubrication,Q1455803,"process or technique employed to reduce friction between, and wear of one or both, surfaces in proximity and moving relative to each other, by interposing a substance called a lubricant in between them","lubrication,Lubrication,lubricates,forced_lubrication,lubricity,oiling,lubricant,elastohydrodynamic,greased,lubrication,engine_oil_system,lubricate,lubricating,lubricated,Lubrication,lubricators,splash_lubrication,seized,lubricating_oil,oil,to_oil_machinery,seize",7|8
ultramarine.n.02,a vivid blue to purple-blue color,ultramarine,Q219660,deep blue color and a pigment which was originally made by grinding lapis lazuli into a powder,"ultramarine_blue,Ultramarine,artificial_ultramarine,Ultramarine,Ultramarine_blue,French_ultramarine,ultramarine,_Ultramarine,Electric_ultramarine,Ultramarine#Structure_and_classification_of_ultramarines,Ultramarine_Blue",7|8
gagarin.n.01,Soviet cosmonaut who in 1961 was the first person to travel in space (1934-1968),"Gagarin,Yuri_Gagarin,Yuri_Alekseyevich_Gagarin",Q7327,"Soviet pilot and cosmonaut, first human in space","Yuri_Gagarin,Yuri_Alekseyevich_Gagarin,Yuri_Alexeyevich_Gagarin,Yury_Alekseyevich_Gagarin,Юрий_Алексеевич_Гагарин,I︠U︡riĭ_Gagarin,I︠U︡riĭ_Oleksiĭovych_Haharin,I︠U︡._A._Gagarin,I︠U︡riĭ_Alekseevich_Gagarin,Yuri_Gagarin,Cosmonaut_Colonel_Yuri_Gagarin,Yuri_Gagarin,Yuri_Alexeevich_Gagarin,first_cosmonaut,first_humans_in_space,Colonel_Yuri_Alekseyevich_Gagarin,Y.Gagarin,Y.A.__Gagarin,Yuri,Yu._A._Gagarin,Y.A._Gagarin,Youri_Gagarine,Soviet_cosmonaut,the_first_person_in_space,Yuri_A._Gagarin,First_man_in_space,launch_of_a_human_into_space,Gagarin,Youri-Gagarine,first_man,Gagarina,Gagarin_Gold_Space_Medal,first_astronaut,human_earth-orbital_flight,Yuri_Alekseyevich_Gagarin,numerous_honours_and_awards,Gagarin,_Yuri_Alekseyevich",7|8
reed_meadow_grass.n.01,a pasture grass of moist places throughout North America,"reed_meadow_grass,Glyceria_grandis",Q50347646,variety of plant,Glyceria_grandis_var._komarovii,7|8
ground_swell.n.01,an obvious change of public opinion or political sentiment that occurs without leadership or overt expression,ground_swell,Q185411,series of waves generated by distant weather systems,"swell,ocean_swell,Swell_(ocean),ground_swells,ocean_swell,waves,Swells,wave_swell,Swell_(ocean),ocean_swells,swell,sea-swell,Ocean_conditions,wave_motion,ocean_waves,swells,long_waves,sea_swells,Swell,sea_swell",7|8
durable.s.02,capable of withstanding wear and tear and decay,"durable,long-wearing",Q2184715,good that does not quickly wear out,"durable_good,hard_good,Durable_good,consumer_durables,durable_good,Consumer_durables,durable_consumption_goods,hard_goods,Durable_good,durable,durability,durables,hard_good,Durability,Consumer_Durables,Durable,durable_consumer_goods",7|8
curtain_raiser.n.01,any preliminary activity,curtain_raiser,Q56601925,article,The_1740_massacre_of_Chinese_in_Java:_Curtain_raiser_for_the_Dutch_plantation_economy,7|8
intensive_care.n.01,close monitoring and constant medical care of patients with life-threatening conditions,intensive_care,Q27726128,medical journal,"Intensive_care_medicine_experimental,Intensive_Care_Med_Exp",7|8
stigmatism.n.02,(optics) condition of an optical system (as a lens) in which light rays from a single point converge in a single focal point,stigmatism,Q1427245,part of a flower,"stigma,Stigma_(botany),,Style,stigmas,style,style_branches,styles_arms,Stigma,stigma,stigma_(botany),style_arm,stigmata,Stigma_(botany),Stigma_(botany)#Style,Stigmas,style_arms,Stigma_(botany)#Style_branch,stigmatic,styles,style_branch,stigmatic_area",7|8
alosa.n.01,shad,"Alosa,genus_Alosa",Q300997,species of shad,"Allis_shad,Alosa_alosa,Allis_shad,Allis_shad,Allis_Shad,Alosa_alosa,allis_shad",7|8
hydrophobicity.n.01,the property of being water-repellent; tending to repel and not absorb water,hydrophobicity,Q41854968,physical property of a molecule that is seemingly repelled from a mass of water,"hydrophobicity,hydrophobic_effect,hydrophoby",7|8
cassius.n.01,prime mover in the conspiracy against Julius Caesar (died in 42 BC),"Cassius,Cassius_Longinus,Gaius_Cassius_Longinus",Q385238,tribune in 49 BC and supporter of Julius Caesar,"Quintus_Cassius_Longinus,Quintus_Cassius_Longinus,Q._Cassius_Longinus,Cassius_Longinus,Quintus_Cassius_Longinus,Cassius",7|8
homer.n.02,ancient Greek epic poet who is believed to have written the Iliad and the Odyssey (circa 850 BC),Homer,Q6691,"ancient Greek epic poet, traditionally considered as the author of the Iliad and the Odyssey","Homer,Homerus,Ὅμηρος,Homeros,Omer,Pseudo-Homer,Omero.,Hoéimeéar,Homère,Homeros.,Homer.,Hema,Homérosz,Ho-ma,Omero,Homeras,Gomer.,Omir,Homéros,Homeérosz,Hóiméar,Homeri,Pseudo_Omero,Homér,Homero,Homere,Gomer,Homa,Homer,epic_literature,Homeric_Greece,Omero,Omer,Greek,Homeric_Epics,Omirou,''Homeric'',Homer’s,Homer's,Homeric\,homer,Homeric_texts,the_other_Homer,Homer's_epics,Homer's_mythological_hero,Homeric_Epic,Homer#Works_attributed_to_Homer,Homeric_epics,Homère,Homer,Homeric_tradition,Homeric,Homeric_literature",7|8
eolith.n.01,a crude stone artifact (as a chipped flint); possibly the earliest tools,eolith,Q568565,chipped flint nodule,"eolith,Eolith,eolith,Eolith",7|8
main_diagonal.n.01,the diagonal of a square matrix running from the upper left entry to the lower right entry,"main_diagonal,principal_diagonal",Q321102,sum of the elements of the main diagonal of a square matrix,"trace,Trace_(linear_algebra),zero-trace,trace-free,Trace_(linear_algebra)#Inner_product,trace_(linear_algebra),Properties_of_trace,tr,traceless,Traces,inner_product,Trace,Trace_(linear_algebra)#Exponential_trace,trace_of_a_linear_operator,traces,trace_of_a_matrix_or_linear_transformation,cyclically_permute_matrices_when_taking_a_trace,Trace_(linear_algebra)#traceless,Trace_(linear_algebra),'''trace''',matrix_trace,trace,trace_operator",7|8
dollar.n.03,a United States coin worth one dollar,dollar,Q4917,currency of the United States of America,"United_States_dollar,USD,$,US_dollar,US$,American_dollar,United_States_dollar,,U.S.$,United_States_dollar#Nicknames,US_currency,dollars_(US),:United_States_dollar,U._S._dollar,'''d'''ollar,USD$,US$40,194,dollar,CAD,$25,UD$,(USD),United_States_dollars,U$S,$32.5,United_States_dollar,U$,USD,US$21,000,US$7,700,U.S._Dollar,dollar_bills,S,$50,000,000,cash,US&nbsp;$,U.S.,US$600,000,US_dollars,$64,paper_bills,$140,United_States,$126_million,dollarize,Dollars,US$15,000,US_$1_million,coin,US$b,currency,U.S._currency,US$30,dollars_(U.S.),($),$1_billion,$1.00,$USD,U,US$137,000,US_dollars',$4000_U.S.,U.S._counterpart,$1_bill,$5_US,cent,United_States_dollars_(USD),U.S._$,US$,American_dollars,U.S._paper_currency,dollars,US_dollar_bills,American_money,Dollar,U.&nbsp;S.&nbsp;dollar,US_100,000,U.S._dollars,US_value,Anchored_dollar_standard,$2&nbsp;billion,United_States_currency,$25.6,$35,000,USD),$400,U.S._Dollars,US$140,United_States_dollar#Dollarization_and_fixed_exchange_rates,US70c.,greenbacks,$625,000,cents_(¢),United_States_dollar,one_dollar,$18,$65,733,US_Dollar,US_Dollars,U.S._dollar,US$3.5_billion,US_Dollars_(USD),US_dollar,USD_$,bills,US$1,$50_million,$22,huge_sum_at_the_time,1960_US_dollars,(US$),dollar_($),$10,000,money,$1,000,cents,US_American_Dollar,US_cents,American_dollar_notes,US_($),one-dollar_bill,$10,000_&ndash;_$12,000,1_US_dollar,$,US-dollar,U.S._cents,[US]$,$US,American_dollar,US_$37,500_-_US_$80,000,US$18,Dollar_standard,$1,$50_bill,Historic_values_of_the_U.S._dollar,2006_USD,2005_USD,$10.00,US,$230,US_$250,dólar,United_States_dollar#Nicknames,American_currency,(USD)_$,U.S.&nbsp;dollar,US¢,USD_($),$25,000,$300_US,US_$",7|8
alarming.a.01,frightening because of an awareness of danger,alarming,Q945434,type of signal (or device) that alerts people to a dangerous condition,"Alarm_device,alarm,Alarm_device,alarm_systems,Alarm_device,fire_alarm_systems,alarm,alarms",7|8
blackwash.n.02,a mixture of calomel and limewater that is used on syphilitic sores,"blackwash,black_lotion",Q1871151,low-viscosity topical preparation intended for application to unbroken skin,"lotion,Lotion,hand_cream,body_lotion,Body_Scrub,skin_lotion,lotion,hand_lotion,skin_lotions,Lotion,vanishing_cream",7|8
genus_clintonia.n.01,sometimes placed in family Convallariaceae,genus_Clintonia,Q136034,genus of plants,"Clintonia,Queens_cup,Clintonia,clintonia,bead_lily_genus,Clintonia",7|8
medullated_nerve_fiber.n.01,a nerve fiber encased in a sheath of myelin,"medullated_nerve_fiber,myelinated_nerve_fiber",Q55788212,human disease,extensive_peripapillary_myelinated_nerve_fibers,7|8
urceolate.a.01,urn-shaped; large below and contracted toward the mouth,urceolate,Q2049965,Botanical terms,"Glossary_of_botanical_terms,Glossary_of_botanical_terms,mesocarp,Glossary_of_botanical_terms#oblique,fimbriae,achlorophyllous,alternate,bifid,lianas,subtended,verticillate,perforation_plates,compound_pinnate,terminal,imbricate,costate,Glossary_of_botanical_terms,setaceous,bipinnate_leaves,chartaceous,bivalve,Glossary_of_botanical_terms#patent,leaf_traces,costa,venation,Glossary_of_botanical_terms#spathulate,phytomelan,subterete,crenulate,tunicate,articulate,Glossary_of_botanical_terms#entire,endemic,placodioid,sessile,scurfy,secondary,brochidodromous,pyrenes,laxly_caespitose,dorsiventral,capitate,lax,Glossary_of_botanical_terms#funnelform,botanical_meanings,bilabiate,trifoliolate,alternisepalous,winged,insertion,Glossary_of_botanical_terms#appressed,Glossary_of_botanical_terms#Axis,axes,synsepalous,axils,pellucid,drip_tip,sagittate,secondaries,prostrate,trifoliate,trinervate,infrageneric,scalariform,trifid,Glossary_of_botanical_terms#declinate,cauline_leaves,tertiary,articulated,decussate,phyllids,sensitive,stamens,suffrutex,peduncle,Glossary_of_botanical_terms#axillary,indumentum,loculicidal,rachis,ovate,imparipinnate,verruculose,fusiform,caducous,Glossary_of_botanical_terms#lenticular,enlarged,epinecral,Valve_(botany),suture,pinnately,scapose,infundibuliform,Glossary_of_botanical_terms#pistillate_flower,Glossary_of_botanical_terms#D,Glossary_of_botanical_terms#P,Glossary_of_botany,ascendent,Glossary_of_botanical_terms#anatropous,discoid,Phyllopodia,crustose,inflorescence,Glossary_of_botanical_terms#beak,Brevideciduous,paleae,leaflet,Glossary_of_botanical_terms#acute,cupules,pubescent,lamina,Glossary_of_botanical_terms#scabrous,pubsecent,obsolete,adaxial_surface,terete,latrorsely,Glossary_of_botanical_terms#N,inserted,Laciniate,stamen,trimerous,plicate,tegmen,axillary,septicidal,obtuse,sarmentose,glabrescent,clavate,labiate,stylodia,revolute,fimbriate,ruminate,Glossary_of_botanical_terms#campanulate,toothed,inaperturate,paraperigonium,cruciform,coriaceous,valves,stipitate,tomentum,tuberoids,sporangiophore,campanulate,Glossary_of_botanical_terms#biloculate,foliose,nodes,bialate,hermaphrodite,vallecular_canal,subtending,herbs,cauline,bivalved,Glossary_of_botanical_terms#runcinate,canescent,Glossary_of_botanical_terms#Costa,lenticellate,sympatric,pauciflor,apex,apocarpy,midrib,bullate,pseudostipules,cupular,scale,botanical_terms,calyptroid,reniform,Glossary_of_botanical_terms#pinna,hysteranthous,herb,adnate,stylulus,contort,Glossary_of_botanical_terms#floret,globose,coralloid,Glossary_of_botanical_terms#lacerate,oblong,accrescent,perennating,raceme,plagiotropic,Glossary_of_botanical_terms#infundibular,sepal,persist,Glossary_of_botanical_terms#H,leprose,dioecious,colleters,abaxial,apices,acrostichoid,adaxial,conflorescence,valve,fasciculate,tomentose,exotestae,Glossary_of_botanical_terms#canaliculate,glabrous,persistent,floret,lobes,Glossary_of_botanical_terms#O,florets,articulation,laticiferous,paleate,apiculate,ovoid,infructescences,basal,Glossary_of_botanical_terms#cilia,subglobose,subulate,Glossary_of_botanical_terms#L,connate,isomerous,obliquely_turbinate,axil,fugacious,standard,spicate,lanceolate,lepidote,monophyllous,isodichotomously,amplexicaul,dichotomously,axile,cupule,Glossary_of_botanical_terms#plicate,Glossary_of_botanical_terms#urceolate,punctate,trophophylls,term,ellipsoid,syncarpous,understory,ascending,pectinate,2-_or_4-seriate,bifoliate,intrastaminal,thallus,salverform,Fimbriate,albuminous,dentate,Glossary_of_botanical_terms#caespitose,buttresses,wings,Acaulescent,mericarps,strobilus,pluriovulate,polygamous,longicidal,hyaline,pinnatisect,lobed,villous,anastomose,integument,mericarp,keels,coherent,apical,anomocytic,pruinose,Glossary_of_botanical_terms#C,latrorse,membranaceous,sclerified,dichotomous,schizocarp,unilocular,ovary,Glossary_of_botanical_terms#truss,basally,ternately,epigynous,calycophyll,cylindrical,scarious,linear,calyx,costae,quadrangular,floccose,clathrate,Glossary_of_botanical_terms#decussant,septum,longitudinal,bathyphylls,persistence,gynobasic,connective,superior,persists,pluriflor,serrate,entire,basifixed,filiform,reflexed,sporangia,medulla,habit,axis,Glossary_of_botanical_terms#hysteranthous,exserted,spatulate,abaxial_costa,oblanceolate,Filaments,free,Glossary_of_botanical_terms#nerve,monadelphous,wing,cristarque_cells,synaptospermic,Glossary_of_botanical_terms#midrib,poricidally,Fruticose,bipolar,Glossary_of_botanical_terms#ascending,monads,anthers,lamellas,acrophylls,squamulose,polystemonous,pubescence,lobe,deciduous,poricidal,involute,monoecious,trivalve,styluli,extrastaminal,buttressed,apetalous,corolla,racemes,laciniate,nucellus,stigma,mucronate,Glossary_of_botanical_terms#foliate,conical,carinal_canal,phyllid,sapwood,membraneous,viscid,inflorescences,underground_storage_organ,perennial,dorsifixed,interpetiolar,caudate,decumbent,phytomelanous,didynamous,numerous,panicle,decompound,unisexual,paracytic",7|8
shop_talk.n.01,talk about your business that only others in the same business can understand,shop_talk,Q3667398,collection of previously published interviews,"Shop_Talk,Shop_Talk,Shop_Talk",7|8
sensual.s.02,sexually exciting or gratifying,"sensual,sultry",Q3015661,dance meant to provide erotic entertainment or elicit erotic or sexual thoughts,"erotic_dancing,Erotic_dance,burlesque_dancer,erotic_dance,Sexy_dance,erotic,Burlesque_dancer,Erotic_dance,Sexydance,Sexy_Dance,erotic_dancing",7|8
