text1,text2,is_same
Russian ballet dancer (1910-1998),asteroid,0
of or relating to plants of the family Solanaceae (the potato family),family of plants,1
a strap attached to a hat; passes under the chin and holds the hat in place,"strip of flexible material, especially leather, used for fastening or holding things together",1
the act of hitting a tennis ball with a tennis racket,photograph in the National Gallery of Art (NGA 97771),0
a mound of glacial drift,band,0
a professional card player who makes a living by cheating at card games,computergame,0
greenling with whitish body marked with black bands,species of fish,1
not capable of being sold,doctoral thesis,1
a clinical trial on more persons than in phase I; intended to evaluate the efficacy of a treatment for the condition it is intended to treat; possible side effects are monitored,clinical trial,0
egg-shaped terra cotta wind instrument with a mouthpiece and finger holes,species of plant,0
the state of being weak in health or body (especially from old age),album by Alesana,0
Malaysian feather palm with base densely clothed with fibers; yields a sweet sap used in wine and trunk pith yields sago,extended play by Anna Tsuchiya,0
an order of hooved mammals of the subclass Eutheria (including pigs and peccaries and hippopotami and members of the suborder Ruminantia) having an even number of functional toes,order of mammals,1
a loose garment (usually with veiled holes for the eyes) worn by Muslim women especially in India and Pakistan,any disturbed state of an astronomical body's atmosphere,0
the distance light travels in a vacuum in one hour; approximately one billion kilometers,unit of length,1
disperse as an aerosol,journal article; published in Aerosol Science and Technology in 2000,0
light hollow muffin made of a puff batter (individual Yorkshire pudding) baked in a deep muffin cup,type of wrap dress designed by Claire McCardell in 1942,0
use or manipulate to one's advantage,"software, data or commands that use a bug or vulnerability to compromise a computer system",1
a short-haired breed with body similar to the Siamese cat but having a solid dark brown or grey coat,cat breed,1
a hard-shelled seed consisting of an edible kernel or meat enclosed in a woody or leathery shell,edible nut,1
suffering from abulia; showing abnormal inability to act or make decisions,"absence of willpower or decisiveness, especially as a symptom of mental disorder",1
a former inlet of the North Sea in the northern coast of the Netherlands; sealed off from the sea in 1932 by a dam that created the IJsselmeer,painting by Clarkson Frederick Stanfield,0
(from 16th to 19th centuries) gates set across a road to prevent passage until a toll had been paid,"a commission created to construct, finance, operate, and maintain the Pennsylvania Turnpike",0
a metric unit of volume equal to one tenth of a liter,derivative of the DVD-R format standard,0
furniture consisting of a table or stand to hold a basin and pitcher of water for washing: `wash-hand stand' is a British term,drawing in the National Gallery of Art (NGA 18063),0
erect perennial of north temperate zone having pinnate leaves and a few nodding flowers with a brown-purple calyx and orange and pink petals,Wikimedia category,0
pertaining to the purchase of insurance policies from terminally ill policy holders,"A viatical settlement is the sale of a policy owner's existing life insurance policy to a third party for more than its cash surrender value, but less than its net death benefit.",1
a poisonous fungus; saddle-shaped and dull yellow to brown fertile part is relatively even,species of fungus,1
a doctrine that rejects religion and religious considerations,Secularism in Egypt Nation,0
a musician who plays the saxophone,American free jazz saxophonist and composer,0
colorful chiefly tropical Old World bird having a strong graceful flight; feeds on especially bees,species of bird of genus Merops,0
in some classifications coextensive with family Laminariaceae: marine brown algae of cold or polar seas,family of seaweed,0
national flag of the United Kingdom,national flag of the United Kingdom,1
a database management system that allows strings of text (`objects') to be processed as a complex network of nodes that are linked together in an arbitrary way,collaborative software that runs a wiki,1
a variety of muscovite,"true mica, phyllosilicate mineral; polytypes: 1M, 2A, 2M2, 3T",1
(from 16th to 19th centuries) gates set across a road to prevent passage until a toll had been paid,highway in Kansas,0
type genus of the Albuginaceae; fungi causing white rusts,genus of fungi,1
widespread weed with pale purple-blue flowers,species of plant,1
referring to or relating to or having the style of architecture created by Andrea Palladio,Italian architect,0
a city in western Switzerland; cultural and commercial center,archaeological museum in Lausanne (Switzerland),0
viviparous percoid fishes comprising the surf fishes,Wikimedia template,0
one of the main longitudinal beams (or plates) of the hull of a vessel; can extend vertically into the water to provide lateral stability,Canadian scientist,0
an aura of heightened value or interest or meaning surrounding a person or thing,Video game developer,0
someone who collects taxes for the government,person who collects taxes,1
a method of treating disease using food and exercise and heat to assist the natural healing process,government ministry for traditional and alternative medicine,0
genus of South African or Asiatic herbs: African daisies,genus of plants,1
fern of the Canary Islands and Madeira,Wikimedia category,0
(anatomy) the part of an organ nearest its point of attachment,Italian film actor and director,0
measuring instrument for indicating speed of rotation,Italian biathlete,0
a landlocked federal republic in central Europe,federal republic in Central Europe,1
someone who makes or repairs articles of silver,craftsperson who makes objects from silver or gold,1
according to the Old Testament he was a pagan king of Israel and husband of Jezebel (9th century BC),fictional character from the novel Moby-Dick,0
a strong metal bar bearing a hook to attach something to be pulled,unit of power,0
a desert in southwestern Africa - largely Botswana,desert in southern Africa,1
injury incurred when the human body hits or is hit by a large outside object (as a car),article,0
a colorless to yellow aromatic liquid that is a constituent of creosote,chemical compound,1
ciliated protozoans that have a goblet-shaped body with a retractile stalk,article,1
a fee paid to the government for the privilege of being licensed to do something (as selling liquor or practicing medicine),official permission required in many countries for the reception of television broadcasts,0
a passenger ship used commercially for pleasure cruises,ship that combines the features of a cruise ship with a Ro-Pax ferry,0
a tray or stand for writing implements and containers for ink,painting by Giovanni Battista Tiepolo,0
involuntary movements of the eyeballs; its presence or absence is used to diagnose a variety of neurological and visual disorders,scientific journal article,0
a game played by two teams of 11 players on a rectangular field 100 yards long; teams try to get possession of the ball and advance it across the opponents goal line in a series of (running or passing) plays,game administrator in American football,0
grassy-leaved North American aquatic plant with yellow star-shaped blossoms,species of plant,1
genus of tropical Asiatic and African plants: especially Persian violets,variety of plant,0
onion with white to deep red tunic; California,species of plant,1
the use of algebra to study geometric properties; operates on symbols defined in a coordinate system,article,0
a naturally occurring or synthetic compound consisting of large molecules made up of a linked series of repeated simple monomers,journal,1
the study of microscopic structures of tissues and organs,branch of biology and medicine that considers the structure of living things,0
similar to oxeye daisy,species of plant,1
a small black and red and white carpet beetle,species of beetle,1
the commission of the Economic and Social Council of the United Nations that is concerned with economic development in Europe,Wikimedia category,0
a family of Nematoda,family of worms,1
a strong dislike,ballistic missile family,1
an artery that supplies the medullary cavity of the long bone,Nutrient artery in bones,1
"floating aquatic carnivorous perennial of central and southern Europe, Africa, Asia, Australia having whorls of 6 to 9 leaves ending in hinged lobes for capturing e.g. water fleas",species of plant,1
a building that is subordinate to and separate from a main building,"country house in Llanbadarn-y-Creuddyn, Wales",0
the capital of Uzbekistan,region of Uzbekistan,0
a suspension bridge across the Hudson River between New York and New Jersey,American politician,0
(biology) a taxonomic group that is a division of a species; usually arises as a consequence of geographical isolation within a species,subspecies of bacterium,0
duck-billed dinosaur with nasal passages that expand into a crest like a hollow helmet,Wikimedia template,0
a genus of Astacidae,"Philadelphia :The Society,1905 | Smithsonian Libraries View Book",0
the brightest asteroid but the fourth to be discovered,company,0
a wide street in London stretching from Trafalgar Square to the Houses of Parliament; site of many government offices,"town in Washington County, New York",0
colorful chiefly tropical Old World bird having a strong graceful flight; feeds on especially bees,species of near-passerine bird in the bee-eater family Meropidae,0
thin trapezoidal bone of the skull forming the posterior and inferior parts of the nasal septum,species of fish,0
any person who is on your side,album by Granger Smith,0
moralization delivered tediously in a preachy manner,Wikimedia list article,1
a pan used for frying foods,type of guitar,0
as a signal,low explosive pyrotechnic devices used for aesthetic and entertainment purposes,1
anything that an adult person uses to reduce anxiety,item used to provide psychological comfort,1
the steady flow of surface ocean water in a prevailing direction,article,0
low cushion-forming plant with rose to crimson-magenta flowers and leaf midribs that persist as spines when the leaves die; southwestern United States,species of plant,1
a nuisance that unreasonably interferes with a right that is common to the general public,act (or neglect) which causes inconvenience or damage,1
a small package of emergency rations; issued to United States troops in World War II,meal supplied by the US military,1
marketing via a promotion delivered directly to the individual prospective customer,Direct Marketing Company,0
relatively weak attraction between neutral atoms and molecules arising from polarization induced in each particle by the presence of other particles,"residual attractive or repulsive forces between molecules or atomic groups that do not arise from a covalent bond, or ionic bonds",1
a crystalline compound used in the form of a hydrochloride as a local anesthetic,combination drug,0
a sleeve extending from shoulder to wrist,"woman's dress of the late 18th century, with long sleeves and a train",0
a sail (or either of a pair of sails) immediately above the lowermost sail of a mast and supported by a topmast,"town in Onslow County, North Carolina, United States",0
(law) government activities seeking to dissolve corporate trusts and monopolies (especially under the United States antitrust laws),law that promotes or seeks to maintain market competition by regulating anti-competitive conduct by companies,1
(botany) outer tissue of bark; a protective layer of dead cells,Irish third-level educational institution,0
a relatively large open container that you fill with water and use to wash the body,family name,0
cause to be carried by a current,single,0
a family of fish including: combtooth blennies,article,0
an English breed slightly larger than the American foxhounds originally used to hunt in packs,dog breed,1
an alternative to the normal procedure; triggered if an unusual but anticipated situation arises,"learning procedure in which biologically potent (conditioned) stimulus, e.g. food, is paired with a previously neutral (unconditioned) stimulus, e.g. ringing bells",1
a purchase negotiated by mail,buying of goods or services by mail delivery,1
the largest city of Ecuador,biggest university in Ecuador,0
a smart bomb that seeks the laser light reflected off of the target and uses it to correct its descent,500 lb unguided aerial bomb,0
the golden throne of former kings of Delhi; stolen by the Persians in 1739 and subsequently lost; symbol of the former Shah of Iran,jeweled throne that was the seat of the Mughal emperors of India,1
(from 16th to 19th centuries) gates set across a road to prevent passage until a toll had been paid,highway in Pennsylvania,0
the brush (small trees and bushes and ferns etc.) growing beneath taller trees in a wood or forest,"village and civil parish in Aylesbury Vale district in Buckinghamshire, England",0
(biology) a taxonomic group that is a division of a species; usually arises as a consequence of geographical isolation within a species,municipality of Slovenia,0
(meteorology) winds spiraling outward from a high pressure center; circling clockwise in the northern hemisphere and counterclockwise in the southern,1976 album by Dick Annegarn,0
a landlocked federal republic in central Europe,"county in Indiana, United States",0
a town in eastern Texas,family name,0
the state capital of Connecticut; located in central Connecticut on the Connecticut river; a center of the insurance business,archdiocese,0
queen of the Olympian gods in ancient Greek mythology; sister and wife of Zeus remembered for her jealously of the many mortal women Zeus fell in love with; identified with Roman Juno,single,0
the 8th letter of the Greek alphabet,scientific journal article,0
any animal that lives by preying on other animals,franchise of science fiction action horror films based on a race of fictional extraterrestrials,0
having four sides,article,0
a statute prescribing the time period during which legal action can be taken,article,0
an African genus of plants of the family Zingiberaceae,species of plant,0
large citrus tree having large sweet deep orange fruit that is easily peeled; widely cultivated in Florida,music genre,0
a rain forest tree or shrub of New Caledonia having a conic crown and pale green sickle-shaped leaves; host species for the rare parasite yew,species of plant,1
a specific number of stocks or shares owned,"museum in Stockholm, Sweden",0
antibiotic related to cephalosporin but no longer in common use,chemical compound,1
"a solemn promise, usually invoking a divine witness, regarding your future acts or behavior",episode of Star Trek: Deep Space Nine (S2 E19),0
a group of volcanic islands in the south central Pacific; part of French Polynesia,"church located in Polynésie française, in France",0
utensils made with copper,painting by Pedro Alexandrino,1
European trailing bramble with red berrylike fruits,species of plant,1
a hard crystalline metamorphic rock that takes a high polish; used for sculpture and as building material,non-foliated metamorphic rock commonly used for sculpture and as a building material,1
a rapid and intense course of training or research (usually undertaken in an emergency),episode of Mayday,0
the act of supporting yourself by your hands alone in an upside down position,Traveling in a vertically inverted orientation with all body weight resting on the hands,0
a form of penicillin V (trade name Ledercillin VK),chemical compound,1
a morbid fear of dogs,phobia,1
of or relating to or in the manner of George Frederick Handel,"German, later British Baroque composer",1
an exorbitant or unlawful rate of interest,episode of Hardcastle and McCormick (S1 E8),0
a city in southern Turkey on the Seyhan River,"City and district in Adana province, Turkey",0
of or pertaining to arthritis,form of joint disorder that involves inflammation of one or more joints,1
a geological fault in which one of the adjacent surfaces appears to have moved horizontally,article,0
of or relating to or resembling a basilica,building used as a place of Christian worship,1
the compass point midway between south and southeast,"West Stour, North Dorset, Dorset, SP8",0
large citrus tree having large sweet deep orange fruit that is easily peeled; widely cultivated in Florida,American college football bowl game,0
newly formed outer wood lying between the cambium and the heartwood of a tree or woody plant; usually light colored; active in water conduction,fibrous material from trees or other plants,1
the term in a syllogism that is common to both premises and excluded from the conclusion,"The memory process that deals with the storage, retrieval and modification of information received at a time ago that is intermediate between that of short and long term memory (30min - 7hrs in Drosophila melanogaster).",1
land tenure by service to the lord as a knight,form of Feudal land tenure,1
a medication used as a stimulant to the central nervous system,Drug class,1
(rugby) knocking the ball forward while trying to catch it (a foul),1947 song performed by Hank Williams,0
somewhat rough,genetic element in the species Drosophila melanogaster,1
of or relating to Christology,"nontrinitarian Christological view, attributed to Arius (c. 256–336), that Jesus Christ is the Son of God, a creature begotten at some time by—and thus distinct from and subordinate to—the Father, who is nevertheless also God (i.e. God the Son)",0
a mineral consisting of cuprous oxide that is a source of copper,oxide mineral,1
a child's plaything consisting on an imitation horse's head on one end of a stick,tool traditionally used by humans to exert control over animals or other people,1
wooden ball that is bowled in the Italian game of bocce,"italian term for ""boules""",0
large genus of Malaysian trees with milky juice and leathery leaves,species of plant,0
a bell rung to announce a death,journal article; published in 1996,0
someone who makes or repairs articles of silver,English silversmith and modeller (1789–1840),0
large blue Pacific remora that attaches to whales and dolphins,species of fish,1
a dentifrice in the form of a paste,"British multinational pharmaceutical, biologics, vaccines and consumer healthcare company",0
a covering made of cloth,any of various cloth coverings for the head,1
macaroon containing coconut,[[Food]],1
exudation from trees of the Prunus genus; resembles gum arabic,gum of cherry-trees,1
with extreme care or delicacy; ; - W.S.White,species of plant,1
a garden where hops are grown,poem,0
a squall advancing along a front that forms a definite line,a line of thunderstorms,1
the basic unit of money in Lithuania,"American rock musician, former member of The Runaways",0
hard strong durable yellowish-brown wood of teak trees; resistant to insects and to warping; used for furniture and in shipbuilding,article,0
capital of Armenia,"art museum in Yerevan, Armenia",0
a thin explosive device inside an envelope or package and detonated when opened,Wikimedia category,0
a helvella with a saddle-shaped fertile part and creamy color; the stalk is fluted and pitted,species of fungus,1
a specially trained elite unit of the United States Army,elite military formation of the United States Army,1
a grant paid by a government to an enterprise that benefits the public,article,0
a medieval hood of mail suspended from a basinet to protect the head and neck,"elbow-length cape that covers the shoulders and is buttoned over the chest, worn by some Roman Catholic clergy",0
food and game fish of North American coastal waters with a mouth from which hooks easily tear out,article,0
a light grayish yellow to near white,Bob Dylan album,0
sailing vessel with a fore-and-aft rig,result of a sudden release of energy in the Earth's crust that creates seismic waves,1
a United States program of economic aid for the reconstruction of Europe (1948-1952); named after George Marshall,American program to aid Europe,1
herbs and shrubs of warm North America to Mexico; includes plants formerly placed in genus Actinomeris,species of plant,0
hybridization using a single trait with two alleles (as in Mendel's experiments with garden peas),mm,1
a backflow of urine from the bladder into the ureter,article,0
present for the first time to the public,"collection of recorded music, words, sounds",0
a small shrubby spiny tree cultivated for its maroon-purple fruit with sweet purple pulp tasting like gooseberries; Sri Lanka and India,species of plant,1
a kind of grunt,species of fish,1
a peninsula in eastern Siberia; between Bering Sea and Sea of Okhotsk,Wikimedia list article,0
well-branched plant with hairy leaves and stems each with a solitary flower head with narrow white or pink or lavender rays; western North America,Wikimedia category,0
the Muskhogean language spoken by the Koasati,species of insect,0
material derived from plants,"research institute in Tashkent, Uzbekistan",0
lacking hydrochloric acid,medical state where the production of hydrochloric acid in gastric secretions of the stomach and other digestive organs is absent or low,1
a catheter that is inserted into the trachea through the mouth or nose in order to maintain an open air passage or to deliver oxygen or to permit the suctioning of mucus or to prevent aspiration of the stomach contents,catheter used to deliver air,1
an industrial city of eastern Poland,university,0
chicken and onions and mushrooms braised in red wine and seasonings,Traditional French chicken dish made with red wine,1
a prearranged fight with deadly weapons by two people (accompanied by seconds) in order to settle a quarrel over a point of honor,episode of How I Met Your Mother (S1 E8),0
a federation in northeastern Europe and northern Asia; formerly Soviet Russia; since 1991 an independent state,transcontinental country in Eastern Europe and Northern Asia,1
"(Old Testament) son of Isaac; brother of Esau; father of the twelve patriarchs of Israel; Jacob wrestled with God and forced God to bless him, so God gave Jacob the new name of Israel (meaning `one who has been strong against God')",engraver from the Northern Netherlands,0
a company that produces operas,company that produces and stages operas,1
trillium of central United States having dark purple sessile flowers,species of plant,1
of or relating to the Mishna (the first part of the Talmud),Bodleian Library MS. Pococke 216,0
the state or condition of having no home (especially the state of living in the streets),circumstance when people desire a permanent dwelling but do not have one,1
a port city in eastern South Africa on the Indian Ocean; resort and industrial center,"commune in Lot, France",0
the compass point midway between south and southwest,"former gemstone and specimen mine located 1.2 km (4,000 feet) SSW of Santa Rita peak",0
the religious belief that God cannot be known but is completely `other' and must be described in negative terms (in terms of what God is not),way of describing the divine by explaining what God is not,1
a lack of cognitive skill,"in Buddhism, mental states that cloud the mind",1
an officer in command of a military unit,United States military rank,0
the basic unit of money in Bhutan,currency,1
a barge that is designed and equipped for use as a dwelling,Houseboat and recording studio,0
a republic in northwestern Africa on the Mediterranean coast; achieved independence from France in 1956,member of the Tunisian parliament,0
the state of being weak in health or body (especially from old age),"capital of Hondón de los Frailes Municipality, Spain",0
a small vascular growth on the surface of a mucous membrane,polyp that involves the rectum,0
relating to or secreting synovia,scientific journal article,0
shaped like a forceps; deeply forked,species of insect,1
slow-growing tropical fan palms,genus of plants,1
part of the North Pacific between Alaska and Siberia; connected to the Arctic Ocean by the Bering Strait,article,0
a bar of milk chocolate made by the Hershey company,Wikimedia list article,0
any of various geometric designs (usually circular) symbolizing the universe; used chiefly in Hinduism and Buddhism as an aid to meditation,song,0
infectious; having the ability to cause disease,degree to which a pathogen is capable of infecting or damaging its host,1
any of several plants of the genus Hydrophyllum,species of plant,0
a large heavy hound formerly used in hunting stags and other large game; similar to but larger than a foxhound,painting by Dean Wolstenholme,0
a wedge-shaped wool or cotton cap; worn as part of a uniform,a series in the National Archives and Records Administration's holdings,0
herb of northeastern North America having drooping clusters of yellowish-white flowers; sometimes placed in genus Prenanthes,species of plant,1
(genetics) abnormal complement of sex hormones in a male resulting in Klinefelter's syndrome,2007 film by Lucía Puenzo,0
moth whose larvae live in and feed on bee honeycombs,family of insects,0
pertaining to or containing aluminum or alum,chemical compound,0
the office of the United States head of state,"non-political leader of an organization, company, community, club, trade union, university or other group",0
a weight used to hold down a stack of papers,collection of writings,0
a covering made of cloth,"(covering; Unknown; 1890s; Museum of New Zealand Te Papa Tongarewa (Wellington, Wellington region, North Island, New Zealand); FE000825)",0
the transaction in 1867 in which the United States Secretary of State William Henry Seward purchased Alaska from Russia,American lawyer and politician,0
an omnivorous nocturnal mammal native to North America and Central America,Dutch pop/rock band,0
a board with pegs and regularly spaced holes for holding the pegs; used for keeping the score in a game of cribbage,card game,1
a brush that is made with the short stiff hairs of an animal or plant,drawing in the National Gallery of Art (NGA 28656),1
a Scandinavian language (closely related to Icelandic) that is spoken on the Faroe Islands,college in Tórshavn,0
the position of precentor,"Anglican cathedral, and the seat of the Bishop of Exeter in England, UK",1
shrub of eastern and southern coastal United States having beautiful racemes of spice-scented white flowers,Wikimedia category,0
cosmopolitan genus of large cockroaches,species of cockroaches,0
the causal agent resulting in death,family name,0
largest city in Illinois; a bustling Great Lakes port that extends 26 miles along the southwestern shoreline of Lake Michigan,album by Alison Krauss,0
in a sorrowful lugubrious manner,mood disorder of non-specific depression,1
small genus of tropical South African trees and shrubs,subspecies of plant,0
social control achieved as a manifestation of self-will or general consent,Provisions which allow for copyrighted works to be used without a license from the copyright owner,1
capital of Armenia,German businessman,0
huge herbivorous dinosaur of Cretaceous found in Argentina,Genus of titanosaurian sauropod dinosaur,1
the capital of Gabon,capital of Gabon,1
a surgical procedure usually performed under local anesthesia in which the cervix is dilated and the endometrial lining of the uterus is scraped with a curet; performed to obtain tissue samples or to stop prolonged bleeding or to remove small tumors or to remove fragments of placenta after childbirth or as a method of abortion,InterPro Domain,0
Belgian surrealist painter (1898-1967),painting series by Rene Magritte,0
stopping two strings and producing two notes at the same time,playing two strings at once on a string instrument,1
a strong metal bar bearing a hook to attach something to be pulled,field study,0
the compass point midway between south and southeast,scientific journal article,0
marsh ferns: in some classification systems considered part of genus Dryopteris in family Dryopteridaceae,article,0
a weight used to hold down a stack of papers,Wikimedia category,0
"a system of weights based on the 16-ounce pound (or 7,000 grains)",informal unit of measure equal to 14 pounds avoirdupois,0
a pan used for frying foods,season of television series,0
evergreen shrub or small tree whose foliage is conspicuously blotched with red and yellow and having small black fruits,species of plant,1
frequent and watery bowel movements; can be a symptom of infection or food poisoning or colitis or a gastrointestinal tumor,album by B'z,0
a colony given to a proprietor to govern (in 17th century),"English, from 1707, British, possession in North America between 1664 and 1776",0
a digital display that uses liquid crystal cells that change reflectivity in an applied electric field; used for portable computer displays and watches etc.,American alternative dance band,0
a woman ambassador,"Journalist, Ambassadress",1
"a solemn promise, usually invoking a divine witness, regarding your future acts or behavior",band,0
a government building with five sides that serves as the headquarters of the United States Department of Defense,"inner city of Brussels within the inner ring road, Belgium",0
notes written in the margin,journal,0
true vampire bats,subfamily of mammals,1
a wedge-shaped wool or cotton cap; worn as part of a uniform,foldable military cap with straight sides and a creased or hollow crown,1
manifesting or subjected to suppression,decreased resistance to infection; reduction of the activation or efficacy of the immune system,1
erect or procumbent blue-flowered annual found in waste places of Europe and America,Wikimedia category,0
a sail (or either of a pair of sails) immediately above the lowermost sail of a mast and supported by a topmast,"island in Ontario, Canada",0
very large towel to dry yourself after swimming,cloth which is used to dry something,1
household for three; an arrangement where a married couple and a lover of one of them live together while sharing sexual relations,protein-coding gene in the species Mus musculus,0
the basic unit of money in Iran,researcher,0
the Muskhogean language spoken by the Koasati,Wikimedia category,0
a condition of regular or proper arrangement,"Any process that increases the rate, frequency, or extent of the orderly movement of an endothelial cell into the extracellular matrix to form an endothelium.",0
the state capital of Connecticut; located in central Connecticut on the Connecticut river; a center of the insurance business,county in Connecticut,0
small genus of North American herbs often root-parasitic and bearing golden-yellow flowers; sometimes placed in genus Gerardia,species of plant,0
a meter to compare strengths of magnetic fields,measuring instrument for magnetism,1
a shortened form of a word or phrase,standards body,0
the yellow dwarf disease of onion plants,species of virus,1
a ditch with one side being a retaining wall; used to divide lands without defacing the landscape,2010 single by Fat Joe,0
40th President of the United States (1911-2004),collection in the National Archives and Records Administration's holdings,0
protective stockings worn with or in place of boots,decorated upper border or cuff of boot-hose in the 16th and 17th centuries,0
swelling of the brain due to the uptake of water in the neuropile and white matter,article,0
the compass point midway between south and southeast,"bay in Aleutians West Census Area, United States of America",0
small clustering cactus of southwestern United States; a threatened species,Wikimedia category,0
a commissioned officer (especially one in the Royal Air Force) equivalent in rank to a colonel in the army,Royal Air Force pilot,0
a ditch with one side being a retaining wall; used to divide lands without defacing the landscape,album by Ultravox,0
the state of being weak in health or body (especially from old age),Human disease,0
a unit of dry measure used in Egypt,unit of volume,1
a minute scale,species of bird,1
of or relating to the belief that God can be known to humans only in terms of what He is not (such as `God is unknowable'),way of describing the divine by explaining what God is not,1
a swimming kick; knees are drawn upward and outward so the legs can be brought together when fully extended,finning propulsion technique used by divers,0
an officer in command of a military unit,member of an armed force or uniformed service who holds a position of authority,0
stout-bodied broad-winged moth with conspicuously striped or spotted wings; larvae are hairy caterpillars,Wikimedia list article,0
relating to or characterized by double refraction,optical phenomenon,1
a genus of deciduous shrubs or trees; fruit is a berry; grow in New Zealand and Fiji and Solomon Islands,genus of plants,1
a fish with a dark-blue back and whitish sides with red stripes; found in swamps and streams of Florida,Wikimedia category,0
greyish highly productive European honeybee that has a quiet disposition,slovenian almanac of poetry,1
whiting of the southeastern coast of North America,article,0
a musician who plays the oboe,"Czech conductor, oboist, music educator and composer",0
in the manner of Ernest Hemingway,American author and journalist,1
a Ukrainian peninsula between the Black Sea and the Sea of Azov,"administrative division of Ukraine since 1992, not occupying the whole peninsula [see Q15966495 for Russian subdivision proclaimed in 2014]",0
a cocked hat with the brim turned up to form two points,cocked hat with two sides of the brim turned up against the crown,1
a fine grained mineral having a soft soapy feel and consisting of hydrated magnesium silicate; used in a variety of products including talcum powder,"unincorporated community in Knott County, Kentucky",0
small genus of Asian deciduous or evergreen shrubs having fragrant flowers: winter sweet,form of plant,0
a heavy brittle metallic element of the platinum group; used in alloys; occurs in natural alloys with platinum or osmium,Islamic Republic in Western Asia,0
someone who grows and deals in flowers,"| London :Chapman and Hall,1852- | New York Botanical Garden, LuEsther T. Mertz Library",0
knowing and perceiving; having awareness of surroundings and sensations and thoughts,scientific journal article,0
the study of microscopic structures of tissues and organs,article,0
(computer science) a computer file containing relatively transient data about a particular data processing task,concrete format or program for storing files and directories on a data storage device,1
arranged without spaces between,"word or an unspaced phrase prefixed with the number sign, used to categorise a topic",1
large citrus tree having large sweet deep orange fruit that is easily peeled; widely cultivated in Florida,citrus fruit hybrid of the mandarin orange,1
the tenth month of the Islamic calendar,19th day of Shawwal in the Islamic calendar,0
in a self-evident manner,statement that is taken to be true,1
a piece of furniture that provides a place to sleep,"neighborhood in Brooklyn, New York",0
a box pleat reversed so that the fullness is turned inward,"wide double pleat, with material folded over oin each side to meet in the middle",1
a woman hired to help children cross a road safely near a school,Help for schoolchidren crossing the road,1
"viral disease in solanaceous plants (tomatoes, potatoes, tobacco) resulting in mottling and often shriveling of the leaves","image made from an assemblage of small pieces of colored glass, stone, or other materials",1
deprive of speech,episode of Orange Is the New Black (S3 E7),0
Russian ballet dancer (1910-1998),Baseketball player,0
a colorless caustic liquid made by treating tin with chlorine,chemical compound,1
a large pistol (usually in a holster) formerly carried by horsemen,firearm using a flintlock mechanism,1
largest city in Illinois; a bustling Great Lakes port that extends 26 miles along the southwestern shoreline of Lake Michigan,Chicago NBA Development League team,0
the tenth month of the Islamic calendar,9th day of Shawwal in the Islamic calendar,0
subshrub with slender woolly stems and long narrow leaves and flower heads with white rays; southern United States and northern Mexico,Wikimedia category,0
the fourth compartment of the stomach of a ruminant; the one where digestion takes place,digestive organ,0
any of various fungi of the family Nidulariaceae having a cup-shaped body containing several egg-shaped structure enclosing the spores,family of fungi,1
the first beta blocker (trade name Inderal) used in treating hypertension and angina pectoris and essential tremor,clinical trial,0
a person who descends down a nearly vertical face by using a doubled rope that is wrapped around the body and attached to some high point,Rope-controlled descent of a vertical surface,1
a game played in a swimming pool by two teams of swimmers who try to throw an inflated ball into the opponents' goal,professional player of the sport water polo,0
a ditch with one side being a retaining wall; used to divide lands without defacing the landscape,2013 song performed by Charli XCX,0
fleshy indehiscent fruit with a single seed: e.g. almond; peach; plum; cherry; elderberry; olive; jujube,genus of plants,0
a public speaker who delivers a loud or forceful or angry speech,episode of Simon & Simon (S5 E23),0
a broad flat muscle on either side of the back,"district in Si Sa Ket province, Thailand",0
declare to be obsolete,retirement pension,1
a purchase negotiated by mail,article,0
one of several districts into which a city or town is divided for voting; each contains one polling place,election district of the Ohio State Senate,0
sometimes placed in family Myrsinaceae,genus of plants,1
the Algonquian language of the Malecite and Passamaquody,Wikimedia category,0
a type of natural rubber obtained from tropical South American trees,"Washington, D.C. :U.S. Dept. of Agriculture,1924. | U.S. Department of Agriculture, National Agricultural Library View Book",0
a landlocked mountainous republic in southeast central Asia to the north of Afghanistan; formerly an Asian soviet,"district in Sughd, Tajikistan",0
any of numerous begonias having large tuberous roots,"Pittsburgh, Pa. :J. Wilkinson Elliott,[1893?] | U.S. Department of Agriculture, National Agricultural Library",0
a pan used for frying foods,third full-length album by Christian rock group Skillet,0
infestation with the large intestinal fluke Fasciolopsis buski; common in eastern Asia,"A parasitic helminthiasis infectious disease that involves parasitic infection of the intestine by Fasciolopsis buski. The symptoms include diarrhea, abdominal pain, fever, ascites, anasarca and intestinal obstruction.",1
a ditch with one side being a retaining wall; used to divide lands without defacing the landscape,novel by Roddy Doyle,0
the depth to which something penetrates (especially the depth reached by a projectile that hits a target),"The process that occurs after viral attachment by which a virus, or viral nucleic acid, breaches the plasma membrane or cell envelope and enters the host cell. The process ends when the viral nucleic acid is released into the host cell cytoplasm.",1
a county in southern England,human settlement in United Kingdom,0
egg-shaped terra cotta wind instrument with a mouthpiece and finger holes,species of virus,0
the usual or familiar type,"New York :The Grafton press,1906. | University of California Libraries (archive.org) View Book",0
the brush (small trees and bushes and ferns etc.) growing beneath taller trees in a wood or forest,"village and civil parish in Amber Valley district, Derbyshire, England",0
of or pertaining to equipment or methods used to sustain life,album by Air Supply,0
the Algonquian language of the Malecite and Passamaquody,"First Nation in Quebec, Canada",0
